Student Name,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Avg Tamil,Avg English,Avg Maths,Avg Science,Avg Social,Max Avg,Max Sub,Outcome
Student 12,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82,86,88,80,85,82.1,84.7,84.4,83.1,83.8,84.7,English,Arts
Student 13,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84,87,81,85,85,84.2,85.6,83.6,85.3,83.5,85.6,English,Arts
Student 14,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,85,87,85,86,88,84.8,84.8,82.8,82.9,84.6,84.8,Tamil,BA
Student 15,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84,84,85,80,87,84.7,85.2,83.6,83.6,85.9,85.9,Social,Commerce
Student 16,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,82,85,84,84,80,83.4,83.6,82.5,82.9,83.6,83.6,English,Arts
Student 17,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,86,82,87,86,85,83.2,82.8,84.6,84.1,84.2,84.6,Maths,Engineering
Student 18,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,84,83,80,85,82,83.2,83.9,84.2,84.8,83.8,84.8,Science,Medical
Student 19,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,85,83,84,88,85,84.9,84.8,84.0,84.7,83.7,84.9,Tamil,BA
Student 20,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,80,85,88,96,82,83.0,84.1,84.9,97.1,83.0,97.1,Science,Medical
Student 21,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,82,87,82,84,85,84.2,84.2,83.6,85.0,84.5,85.0,Science,Medical
Student 22,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,81,85,92,87,87,84.7,85.0,92.2,84.4,84.2,92.2,Maths,Engineering
Student 23,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,87,86,85,81,86,83.6,83.3,84.7,83.6,83.6,84.7,Maths,Engineering
Student 24,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,80,85,81,86,81,83.6,84.8,83.5,84.2,83.6,84.8,English,Arts
Student 25,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,86,80,82,88,84,83.6,83.6,83.6,83.7,84.0,84.0,Social,Commerce
Student 26,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,85,86,82,84,80,83.4,84.5,83.4,82.9,84.6,84.6,Social,Commerce
Student 27,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,84,87,81,85,81,83.8,84.2,84.2,84.5,83.8,84.5,Science,Medical
Student 28,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,88,83,87,82,81,85.1,83.1,83.6,83.5,84.6,85.1,Tamil,BA
Student 29,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,88,87,88,83,83,84.6,84.6,84.1,84.4,83.6,84.6,Tamil,BA
Student 30,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85,80,81,98,88,85.1,84.1,84.5,97.7,85.0,97.7,Science,Medical
Student 31,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,85,81,85,80,87,83.1,82.7,84.3,82.6,83.4,84.3,Maths,Engineering
Student 32,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82,85,81,86,80,82.0,84.1,82.7,84.1,83.4,84.1,English,Arts
Student 33,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,86,84,90,81,80,83.5,83.2,91.4,84.1,83.3,91.4,Maths,Engineering
Student 34,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,88,82,84,87,87,84.2,82.5,83.9,84.5,86.2,86.2,Social,Commerce
Student 35,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,80,84,80,81,81,83.1,84.6,83.0,84.0,83.6,84.6,English,Arts
Student 36,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85,83,85,88,80,85.6,83.6,85.1,83.5,83.8,85.6,Tamil,BA
Student 37,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,81,88,86,87,87,83.0,84.0,83.4,84.5,84.5,84.5,Science,Medical
Student 38,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,83,85,88,88,80,84.3,83.6,85.1,83.9,84.6,85.1,Maths,Engineering
Student 39,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,82,84,86,82,88,85.0,84.7,83.8,85.0,86.0,86.0,Social,Commerce
Student 40,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83,81,86,96,84,83.5,82.8,83.3,97.5,83.2,97.5,Science,Medical
Student 41,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,86,87,88,83,81,83.4,84.4,82.9,84.6,84.4,84.6,Science,Medical
Student 42,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84,86,87,86,85,84.5,83.9,84.0,85.2,83.9,85.2,Science,Medical
Student 43,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,87,82,83,83,83,83.5,82.9,84.6,84.3,85.0,85.0,Social,Commerce
Student 44,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,81,88,93,87,81,83.5,85.1,91.7,85.7,83.0,91.7,Maths,Engineering
Student 45,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,80,88,82,86,83,84.2,84.3,83.6,82.3,84.0,84.3,English,Arts
Student 46,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,85,84,87,82,81,84.1,84.7,84.3,84.9,83.8,84.9,Science,Medical
Student 47,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,82,82,82,81,87,83.6,84.3,84.1,84.7,85.2,85.2,Social,Commerce
Student 48,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,81,88,87,80,82,84.3,84.3,84.3,84.0,84.9,84.9,Social,Commerce
Student 49,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,86,87,80,81,83,84.2,84.1,84.0,83.9,84.6,84.6,Social,Commerce
Student 50,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,86,86,81,97,85,84.3,83.3,82.3,97.7,82.5,97.7,Science,Medical
Student 51,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,81,85,84,87,80,83.3,83.8,84.9,84.8,84.7,84.9,Maths,Engineering
Student 52,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,80,88,80,88,81,83.8,85.1,83.7,83.8,83.6,85.1,English,Arts
Student 53,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84,83,83,88,80,84.2,84.0,82.7,83.5,84.2,84.2,Tamil,BA
Student 54,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,85,80,81,83,83,84.4,83.5,83.4,83.8,83.2,84.4,Tamil,BA
Student 55,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,81,85,90,85,85,83.2,84.2,91.4,86.3,84.4,91.4,Maths,Engineering
Student 56,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,88,88,81,85,88,83.1,83.0,83.7,84.0,83.2,84.0,Science,Medical
Student 57,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,80,86,82,87,87,84.0,85.0,83.4,84.6,84.5,85.0,English,Arts
Student 58,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,80,88,80,86,80,84.4,85.3,83.5,82.8,83.0,85.3,English,Arts
Student 59,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,85,82,82,81,85,82.9,83.8,84.5,84.5,84.4,84.5,Maths,Engineering
Student 60,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,87,84,81,98,82,85.2,84.4,82.7,97.4,84.1,97.4,Science,Medical
Student 61,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,86,85,82,87,84,82.8,85.1,83.7,85.1,83.6,85.1,English,Arts
Student 62,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84,88,87,84,87,84.3,82.8,84.2,84.4,84.4,84.4,Science,Medical
Student 63,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84,85,84,82,82,84.9,85.6,83.6,82.7,85.0,85.6,English,Arts
Student 64,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,88,82,87,82,84,84.2,83.9,84.1,84.7,83.4,84.7,Science,Medical
Student 65,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84,88,86,80,83,84.0,85.5,85.5,82.6,82.9,85.5,English,Arts
Student 66,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,88,88,90,86,85,84.7,85.4,91.9,82.2,85.1,91.9,Maths,Engineering
Student 67,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,87,85,88,84,86,82.8,84.2,84.1,85.1,83.5,85.1,Science,Medical
Student 68,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,84,82,81,86,80,83.9,83.0,83.8,84.1,83.4,84.1,Science,Medical
Student 69,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,85,85,84,82,82,83.8,85.4,85.1,83.7,84.4,85.4,English,Arts
Student 70,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,82,88,80,96,86,84.0,84.3,83.5,97.5,84.1,97.5,Science,Medical
Student 71,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,87,86,82,80,87,84.0,84.4,83.9,82.1,84.1,84.4,English,Arts
Student 72,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,88,88,83,80,80,84.8,84.6,82.8,83.5,82.9,84.8,Tamil,BA
Student 73,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,85,88,88,82,82,83.8,83.1,84.7,83.4,83.4,84.7,Maths,Engineering
Student 74,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83,80,88,83,82,83.5,84.0,84.2,84.1,82.9,84.2,Maths,Engineering
Student 75,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,82,87,86,84,85,83.0,85.0,83.9,85.2,83.8,85.2,Science,Medical
Student 76,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,87,86,80,84,84,84.3,85.0,82.9,84.7,83.3,85.0,English,Arts
Student 77,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,80,80,93,88,85,83.3,82.4,92.1,84.1,84.5,92.1,Maths,Engineering
Student 78,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,88,82,84,85,85,85.2,83.4,85.0,83.4,85.6,85.6,Social,Commerce
Student 79,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,87,87,83,83,81,84.3,84.8,82.6,83.9,83.1,84.8,English,Arts
Student 80,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,83,86,87,98,87,84.2,84.6,83.4,96.7,83.1,96.7,Science,Medical
Student 81,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,83,83,86,85,83,84.4,83.3,82.9,84.9,84.0,84.9,Science,Medical
Student 82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,88,80,80,82,82,84.7,83.4,82.3,82.9,82.0,84.7,Tamil,BA
Student 83,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,86,81,82,88,87,83.0,83.4,83.8,83.8,85.9,85.9,Social,Commerce
Student 84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,81,81,84,81,84,83.0,83.2,83.9,84.2,84.0,84.2,Science,Medical
Student 85,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,82,88,84,86,88,83.3,85.0,84.8,84.4,85.3,85.3,Social,Commerce
Student 86,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,85,83,83,85,88,83.7,84.9,83.1,83.9,86.7,86.7,Social,Commerce
Student 87,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,87,86,86,87,80,85.9,85.5,83.4,85.9,82.5,85.9,Tamil,BA
Student 88,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,82,82,93,82,86,83.1,84.7,91.3,83.2,85.0,91.3,Maths,Engineering
Student 89,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,85,86,86,88,88,83.6,85.4,85.3,82.7,84.2,85.4,English,Arts
Student 90,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,81,84,85,98,82,84.9,83.2,84.2,96.5,84.5,96.5,Science,Medical
Student 91,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83,83,84,88,87,83.6,83.7,83.0,85.3,85.1,85.3,Science,Medical
Student 92,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,83,88,86,86,81,84.8,83.5,83.8,84.6,84.2,84.8,Tamil,BA
Student 93,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,87,84,82,83,84,84.6,82.3,84.6,84.5,83.7,84.6,Tamil,BA
Student 94,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,80,82,82,82,85,84.4,83.3,84.1,83.8,82.8,84.4,Tamil,BA
Student 95,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,84,80,84,82,82,83.7,83.2,83.7,82.8,83.8,83.8,Social,Commerce
Student 96,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,86,84,84,85,88,84.1,83.4,84.6,82.9,85.3,85.3,Social,Commerce
Student 97,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,81,80,80,86,82,83.4,83.4,84.7,83.8,85.0,85.0,Social,Commerce
Student 98,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,82,88,87,85,83,83.1,84.8,84.6,83.9,82.9,84.8,English,Arts
Student 99,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,84,88,93,84,88,83.9,83.5,91.6,84.0,84.7,91.6,Maths,Engineering
